plant_id,original_species_name,verbatim_scientific_name,canonical_candidate_name,authorship_candidate,canonical_lookup_key,family_name,common_name,classification,purpose,reference,detail_url,source_batch_id,raw_hash,species_name
11,Aegle marmelos Correa.,Aegle marmelos Correa.,Aegle marmelos,Correa.,aegle marmelos,Rutaceae,,plants,medicinal,"Tumbuhan Obat & Khasiatnya by Drs.H.Arief Hariana (2005),Vol.2,ISBN 979-489-957-7.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Aegle%20marmelos,knapsack_world_id_2026_04_17,0775acc1f54da2fe539802b9ec55f9be245dd3ceb7f89d8637081dfa4a658614,Aegle marmelos Correa.
12,Aerva lanata (L.) A. L. Juss. ex Schultes,Aerva lanata (L.) A. L. Juss. ex Schultes,Aerva lanata,(L.) A. L. Juss. ex Schultes,aerva lanata,Amaranthaceae,,plants,medicinal,"Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008) de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Aerva%20lanata,knapsack_world_id_2026_04_17,489b449e5c56e5e2c3271c5202d022bfb0b5de048f6d801823a9ad413cc36165,Aerva lanata (L.) A. L. Juss. ex Schultes
13,Agathis dammara (Lamb.) L.C.Richard.,Agathis dammara (Lamb.) L.C.Richard.,Agathis dammara,(Lamb.) L.C.Richard.,agathis dammara,Araucariaceae,,plants,medicinal,"Taksonomi Koleksi Tanaman Obat Kebun Tanaman Obat Citeureup,vol.kedua(2009),ISBN 978-979-3707-42-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Agathis%20dammara,knapsack_world_id_2026_04_17,45bdf028fd89ebf8f0afb7deecc4194fd01e3d0fe20fb6c89462a44394e299d5,Agathis dammara (Lamb.) L.C.Richard.
14,Ageratum conyzoides,Ageratum conyzoides,Ageratum conyzoides,,ageratum conyzoides,Asteraceae,,plants(scenting),medicinal,"Roosita,J.Ethnopharmacol.,115,(2008),72 Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6. Tumbuhan Obat & Khasiatnya by Drs.H.Arief Hariana (2004),Vol.1,ISBN 979-489-816-3.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Ageratum%20conyzoides,knapsack_world_id_2026_04_17,68dd56c8678437cb773a76f7a6524f2991cbe8ae2f25a7e59fc3d411fe518092,Ageratum conyzoides
15,Ageratum houstonianum Miller,Ageratum houstonianum Miller,Ageratum houstonianum,Miller,ageratum houstonianum,Asteraceae,,plants,medicinal,"de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Ageratum%20houstonianum,knapsack_world_id_2026_04_17,a81c58a5b97146eb9a9da13666cd8044989494780363d212372fc9c852e3d719,Ageratum houstonianum Miller
16,Aglaia odorata L.,Aglaia odorata L.,Aglaia odorata,L.,aglaia odorata,Meliaceae,,plants,medicinal,"Hariana,Tubuhan Obat dan Khasiatnya Seri 2,Penebar Sadaya,(2002) Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Aglaia%20odorata,knapsack_world_id_2026_04_17,17648671135dc85a3463954674ceda8d8180be456f6a43f689c0cd3c91f9cfd6,Aglaia odorata L.
17,Albizia chinensis,Albizia chinensis,Albizia chinensis,,albizia chinensis,Fabaceae Mimosaceae,,plants,medicinal,"Medicinal Plants From the East by Christophe Wiart,ISBN 978-1-904761-85-3.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Albizia%20chinensis,knapsack_world_id_2026_04_17,6d1646addab5b2b511dcb0e9e8c1159efd906087eedb5bb30ae6549d22bbdc9e,Albizia chinensis
18,Aleurites moluccana,Aleurites moluccana,Aleurites moluccana,,aleurites moluccana,Euphorbiaceae,,plants,medicinal,"Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008) 高橋澄子,ジャムウ インドネシアの伝統治療薬、平河出版社(1988)[Takahasi, S.,Traditional remedy of Indonesia,(1988), in Japanese]",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Aleurites%20moluccana,knapsack_world_id_2026_04_17,63a6ca2970cd23254cff03abf5ee061de025a4ab0aef13d13cd912fb5c295afb,Aleurites moluccana
19,Allamanda cathartica L.,Allamanda cathartica L.,Allamanda cathartica,L.,allamanda cathartica,Apocynaceae,,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (2008),Vol 5,ISBN 978-979-1480-18-5.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Allamanda%20cathartica,knapsack_world_id_2026_04_17,7a2267ac4462afa291dd5aad42e80b6aa79ee7a154c4adca940f7bfbe938cd27,Allamanda cathartica L.
20,Allium cepa,Allium cepa,Allium cepa,,allium cepa,Amaryllidaceae Alliaceae Liliaceae,Onion,plants,medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Allium%20cepa,knapsack_world_id_2026_04_17,4f0c3a4100a32ef14f3877bd7380134f5471555e42e569e6c6632204be40d397,Allium cepa
21,Allium chinense G.Don,Allium chinense G.Don,Allium chinense,G.Don,allium chinense,Amaryllidaceae Alliaceae Liliaceae,,plants,medicinal,"de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Allium%20chinense,knapsack_world_id_2026_04_17,702be84c2f6ad6c328ce2b5d6f64af3a02cb0f3b3b35598c8f11757aa8bb7220,Allium chinense G.Don
22,Allium fistulosum L.,Allium fistulosum L.,Allium fistulosum,L.,allium fistulosum,Amaryllidaceae Alliaceae Liliaceae,,plants,medicinal,"de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Allium%20fistulosum,knapsack_world_id_2026_04_17,af84418c1a8ccc5842158d20a6a8e79619253857e39ca1c4821d340bd8b339ef,Allium fistulosum L.
23,Allium sativum,Allium sativum,Allium sativum,,allium sativum,Amaryllidaceae Alliaceae Liliaceae,Garlic,plants,medicinal,"Roosita,J.Ethnopharmacol.,115,(2008),72 Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Allium%20sativum,knapsack_world_id_2026_04_17,ec5c8a69faf8a24162d3c68101b15b9f9c2741056715adaa8fc1c3e09df76df8,Allium sativum
24,Allium tuberosum Rottler ex Sprengel,Allium tuberosum Rottler ex Sprengel,Allium tuberosum,Rottler ex Sprengel,allium tuberosum,Amaryllidaceae Alliaceae Liliaceae,,plants,medicinal,"de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Allium%20tuberosum,knapsack_world_id_2026_04_17,dac1c0fef4ea0fb69256973c1c4e11281edd074766e56addf5ed2f18597e2bb6,Allium tuberosum Rottler ex Sprengel
25,Alocasia macrorrhiza (L.) G.Don.,Alocasia macrorrhiza (L.) G.Don.,Alocasia macrorrhiza,(L.) G.Don.,alocasia macrorrhiza,Araceae,,plants,medicinal,"Tumbuhan Obat & Khasiatnya by Drs.H.Arief Hariana (2006),Vol.3,ISBN 979-002-008-2.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Alocasia%20macrorrhiza,knapsack_world_id_2026_04_17,36db0a2748049d2b30e4a378168244b3bbae500d7bd427488d65d380dfab1794,Alocasia macrorrhiza (L.) G.Don.
26,Aloe vera,Aloe vera,Aloe vera,,aloe vera,Xanthorrhoeaceae Asphodelaceae Liliaceae,aloe | Barbados aloe | Curacao aloe,plants,medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Aloe%20vera,knapsack_world_id_2026_04_17,22f25ccb62c4a66cc824a63368a86a8b10fe8fe75fbbe75c6b47d458f7c0f28f,Aloe vera
27,Alpinia galanga,Alpinia galanga,Alpinia galanga,,alpinia galanga,Zingiberaceae,Galangal | Greater galingal | Siamese ginger,"plants(spice,flavouring,food,vegetable)",medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Alpinia%20galanga,knapsack_world_id_2026_04_17,84ab7952ec21dba32acbf79e0731ae90610d158bf002db9eba2ee22a1aea27ab,Alpinia galanga
28,Alpinia officinarum Hance,Alpinia officinarum Hance,Alpinia officinarum,Hance,alpinia officinarum,Zingiberaceae,,plants,medicinal,"高橋澄子,ジャムウ インドネシアの伝統治療薬、平河出版社(1988)[Takahasi, S.,Traditional remedy of Indonesia,(1988), in Japanese]",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Alpinia%20officinarum,knapsack_world_id_2026_04_17,307848c178e06bce7fb60170a30291a1053cff3d11da870cfde3b10a25c4e907,Alpinia officinarum Hance
29,Alstonia scholaris,Alstonia scholaris,Alstonia scholaris,,alstonia scholaris,Apocynaceae,Devil tree | Dita bark | Milky pine,plants,medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Alstonia%20scholaris,knapsack_world_id_2026_04_17,24c632564adf6f7f1e7227975ce1977029af70bfe4ac540ebb3bc706d11d82c5,Alstonia scholaris
30,Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides,(Mart.) Griseb.,alternanthera philoxeroides,Amaranthaceae,,plants,medicinal,"de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Alternanthera%20philoxeroides,knapsack_world_id_2026_04_17,ff7399820dffd6766bf428e71cfc266e2b9e421b4fdf14a366c4fefe64a99059,Alternanthera philoxeroides (Mart.) Griseb.
31,Alternanthera sessilis,Alternanthera sessilis,Alternanthera sessilis,,alternanthera sessilis,Amaranthaceae,,plants,medicinal,"Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Alternanthera%20sessilis,knapsack_world_id_2026_04_17,6eae4f858a4c5541c43ea88c692644cde71edf54e4891ee2f3d423260d20c926,Alternanthera sessilis
32,Amaranthus spinosus L.,Amaranthus spinosus L.,Amaranthus spinosus,L.,amaranthus spinosus,Amaranthaceae,,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (1999),Vol 1,ISBN 979-661-050-7. JAMU in Indonesian Daily Life and Industry by Suwidjiyo Pramono Tanaman Obat Tradisional by Thomas A.N.S. (1989),Vol.1,ISBN 978-979-413-091-9. Tumbuhan Obat & Khasiatnya by Drs.H.Arief Hariana (2004),Vol.1,ISBN 979-489-816-3. Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008) de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Amaranthus%20spinosus,knapsack_world_id_2026_04_17,034c7f6052ecae80f026bdd3f0620a9b960858b1e266ab2d14c3b9aac2389208,Amaranthus spinosus L.
33,Amaranthus tricolor L.,Amaranthus tricolor L.,Amaranthus tricolor,L.,amaranthus tricolor,Amaranthaceae,,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (2000),Vol 2,ISBN 979-661-065-5. Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Amaranthus%20tricolor,knapsack_world_id_2026_04_17,499c1a0a654b8f3476520a47352e9170e0801bb6f0ee6ba2cd91cee29b16f5ee,Amaranthus tricolor L.
34,Amomum aculeatum,Amomum aculeatum,Amomum aculeatum,,amomum aculeatum,Zingiberaceae,,plants,medicinal,"Chin,J.Nat.Prod.,71,(2008),390",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Amomum%20aculeatum,knapsack_world_id_2026_04_17,a5433ab0986db628a8136571abda5900ea6c38d622366123ba5cf8051fdf4ea5,Amomum aculeatum
35,Anacardium occidentale L.,Anacardium occidentale L.,Anacardium occidentale,L.,anacardium occidentale,Anacardiaceae,,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (2000),Vol 2,ISBN 979-661-065-5. JAMU in Indonesian Daily Life and Industry by Suwidjiyo Pramono Joshi, S.G.,Medicinal Plants,Mohan Primlani for Oxfor & IBH Publishing Co.Pvt.Ltd.,New Delhi (2003) 高橋澄子,ジャムウ インドネシアの伝統治療薬、平河出版社(1988)[Takahasi, S.,Traditional remedy of Indonesia,(1988), in Japanese] Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008) Taksonomi Koleksi Tanaman Obat Kebun Tanaman Obat Citeureup,vol.Pertama(2008),ISBN 978-979-3707-42-6. Tanaman Obat Tradisional by Thomas A.N.S. (1989),Vol.1,ISBN 978-979-413-091-9.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Anacardium%20occidentale,knapsack_world_id_2026_04_17,658b20447be696c66b49e9ebd294107397e903f3e542ed07caef89acdeddff0c,Anacardium occidentale L.
36,Ananas comosus,Ananas comosus,Ananas comosus,,ananas comosus,Bromeliaceae,pineapple,plants,medicinal,"Medicinal Plants of the World by Ivan A.Ross,Vol.2,ISBN 0-89603-877-7.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Ananas%20comosus,knapsack_world_id_2026_04_17,411ebd607aaaeb7c9140044093cea7515d1b02b43d68d1ee552f5932bb2707de,Ananas comosus
37,Andrographis paniculata,Andrographis paniculata,Andrographis paniculata,,andrographis paniculata,Acanthaceae,,plants,medicinal,"Roosita,J.Ethnopharmacol.,115,(2008),72 Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Andrographis%20paniculata,knapsack_world_id_2026_04_17,bb899bdf9ac07f611b1f68b9cc7f4e1fd127f05dd6143ea667fcf602fd93c3a6,Andrographis paniculata
38,Angelica keiskei,Angelica keiskei,Angelica keiskei,,angelica keiskei,Apiaceae,ashitaba,plants,medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Angelica%20keiskei,knapsack_world_id_2026_04_17,1146a461185a941694803b66b39532570f535ecd0cfca248f2d8db7bfc5a2d8d,Angelica keiskei
39,Annona muricata,Annona muricata,Annona muricata,,annona muricata,Annonaceae,Soursop,plants,medicinal,"Roosita,J.Ethnopharmacol.,115,(2008),72 Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Annona%20muricata,knapsack_world_id_2026_04_17,0cff9d462eb37ed57eb5da877fcea4edb3ba506c0f4d2249a5ae200226f3b9af,Annona muricata
40,Annona reticulata L.,Annona reticulata L.,Annona reticulata,L.,annona reticulata,Annonaceae,,plants,medicinal,"Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Annona%20reticulata,knapsack_world_id_2026_04_17,eb2bd6a8d154d33330a69b6ddc9483ac603647da1531c918acf4be7aa5982a1d,Annona reticulata L.
41,Annona squamosa L.,Annona squamosa L.,Annona squamosa,L.,annona squamosa,Annonaceae,Sugar-apple,plants,medicinal,"Atlas Tumbuhan Obat by dr.Setiawan Dalimartha (2003),Vol 3,ISBN 979-3235-73-X. Taksonomi Koleksi Tanaman Obat Kebun Tanaman Obat Citeureup,vol.kedua(2009),ISBN 978-979-3707-42-6. Tumbuhan Obat & Khasiatnya by Drs.H.Arief Hariana (2006),Vol.3,ISBN JAMU in Indonesian Daily Life and Industry by Suwidjiyo Pramono 979-002-008-2. Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Annona%20squamosa,knapsack_world_id_2026_04_17,be63dfad7fc5b58ec9b566d4b7a01420541f645c09c13c8fc243a41401bef0f2,Annona squamosa L.
42,Anredera cordifolia (Ten.) Steenis,Anredera cordifolia (Ten.) Steenis,Anredera cordifolia,(Ten.) Steenis,anredera cordifolia,Basellaceae,,plants,medicinal,"Taksonomi Koleksi Tanaman Obat Kebun Tanaman Obat Citeureup,vol.Pertama(2008),ISBN 978-979-3707-42-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Anredera%20cordifolia,knapsack_world_id_2026_04_17,65065e1c2dde4da78ede2c018ba32ba6f62e14395e9bf1f9fe93e40cac238fa5,Anredera cordifolia (Ten.) Steenis
43,Antiaris toxicaria Lesch.,Antiaris toxicaria Lesch.,Antiaris toxicaria,Lesch.,antiaris toxicaria,Moraceae,,plants,medicinal,"de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Antiaris%20toxicaria,knapsack_world_id_2026_04_17,39e954c5d5585b05279863e9fa98b5549d6358a4188362aef03502340e1039ac,Antiaris toxicaria Lesch.
44,Apium graveolens,Apium graveolens,Apium graveolens,,apium graveolens,Apiaceae,celery,plants,medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Apium%20graveolens,knapsack_world_id_2026_04_17,19c7a24e4221c3d1b51e5270d8818416ec4c5c5e03104a1cb6f7480f9bf8d023,Apium graveolens
45,Arachis hypogaea,Arachis hypogaea,Arachis hypogaea,,arachis hypogaea,Fabaceae,peanut,plants,medicinal,"Roosita,J.Ethnopharmacol.,115,(2008),72",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Arachis%20hypogaea,knapsack_world_id_2026_04_17,6f4ee8e49b49f3dd559d806c3bc73882bace0470622cb7cb9b7c3b26d22cc788,Arachis hypogaea
46,Arcangelisia flava (L.) Merr.,Arcangelisia flava (L.) Merr.,Arcangelisia flava,(L.) Merr.,arcangelisia flava,Menispermaceae,,plants,medicinal,"Hariana,Tubuhan Obat dan Khasiatnya Seri 2,Penebar Sadaya,(2002) 高橋澄子,ジャムウ インドネシアの伝統治療薬、平河出版社(1988)[Takahasi, S.,Traditional remedy of Indonesia,(1988), in Japanese] de Padua et al.(1999), Plant Resources of South-East Asia 12,(1) Medicinal and poisonous plants 1, Bogor, Indonesia Tumbuhan Obat & Khasiatnya by Drs.H.Arief Hariana (2005),Vol.2,ISBN 979-489-957-7.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Arcangelisia%20flava,knapsack_world_id_2026_04_17,6414e5f00117e2f2aab5fbdce299b63017162247cb1a2c51cc6aa9db6d4f7d5c,Arcangelisia flava (L.) Merr.
47,Areca catechu,Areca catechu,Areca catechu,,areca catechu,Arecaceae,,plants,medicinal,"Herbal Indonesia Berkhasiat by Bukti Ilmiah & Cara Racik,Vol 8,ISBN 979-688-236-6.",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Areca%20catechu,knapsack_world_id_2026_04_17,9724cac1496df7cc29372e1fff8afa8b6871141c9a70fe392610e86ba22d1c27,Areca catechu
48,Artemisia abrotanum L.,Artemisia abrotanum L.,Artemisia abrotanum,L.,artemisia abrotanum,Asteraceae,,plants,medicinal,"Joshi, S.G.,Medicinal Plants,Mohan Primlani for Oxfor & IBH Publishing Co.Pvt.Ltd.,New Delhi (2003) 高橋澄子,ジャムウ インドネシアの伝統治療薬、平河出版社(1988)[Takahasi, S.,Traditional remedy of Indonesia,(1988), in Japanese]",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Artemisia%20abrotanum,knapsack_world_id_2026_04_17,be49c4a3b257d9be72f1a2cc666b45dfaaa06b58ae5a37f4f7cf129368b0d38b,Artemisia abrotanum L.
49,Artemisia cina Berg.,Artemisia cina Berg.,Artemisia cina,Berg.,artemisia cina,Asteraceae,,plants,medicinal,"Utami,Buku Pintar Tanaman Obat,431 jenis tanaman penggempur aneka penyakit,Redaksi AgroMedia,(2008)",https://www.knapsackfamily.com/knapsack_core/result.php?sname=organism&word=Artemisia%20cina,knapsack_world_id_2026_04_17,a710b469f34c76d165646c5494e6f43976f676ed0bab8d1e92b5baea90f2ba89,Artemisia cina Berg.
